,sentence,intent
493,someone never played spiderman kid want tried year back idk kinda collective nostalgia people web swinging mechanics busted fuck kinda trash,No Hate
494,democommunists allready destroyed america put men womens bathroom right child molestors n child killers n illegals rights americans u think im wrong bill say something besides kissing liberals ass,Hate
495,yes bitch,No Hate
496,lil girl adult conversation take thin ass somewhere ya dig,Hate
497,hope fuck,No Hate
498,could stop taking molly shit glad changed still around absolutely sucks max passed amazing artist rip mac,No Hate
499,damn felt shit loud lol,No Hate
500,damn felt shit loud lol,No Hate
501,full shit violent crime amp decline decades b gun crime problem state amp local problem amp called common sense gun control law pass,Hate
502,suggest get worser jobs want might even office might arguing gay,Hate
503,imagine married crazy bitch good god,Hate
504,term parasite added list fuck terms also includes term widget,No Hate
505,go like seinfeld cancel series hot jk fucking dare better issue plan,No Hate
506,call dog cause dam got bone nigga,No Hate
507,lt god chosen leader ass fuck christian conservatives gt baptist pastor brian kaylor claims sarah huckabee sanders lies defend god chosen leader url,Hate
508,lt god chosen leader ass fuck christian conservatives gt baptist pastor brian kaylor claims sarah huckabee sanders lies defend god chosen leader url,Hate
509,u bad bitch lol,No Hate
510,yeah bitch put back beat sorry asses bears suck blew lead lmaoooo,Hate
511,yeah bitch put back beat sorry asses bears suck blew lead lmaoooo,Hate
512,picked fuck,Hate
513,one way look charge bullshit almost everyon,Hate
514,watching bentley kept looking crate trained good allowed eat pee shit occasionally play tim,No Hate
515,liberals smh tweeting stupid shit trump order elimination isis obama people think people r murder saved hav killed isi,Hate
516,nigga going next week,No Hate
517,fluffy bastard url,Hate
518,buckle democrats liberals shit hit fan fbi doj,Hate
519,really cares wack ass beef,No Hate
520,fact called nigger respectfully told preference damn near proves theori,No Hate
521,fact called nigger respectfully told preference damn near proves theori,No Hate
522,nansbabh bitch stfu,Hate
523,shimmmy ok ok ok bitch lmao jk,No Hate
524,fucking serious italian talk father born sicily ridiculous notions idiot think left antifa stands anti fascism dictators right w,Hate
525,reflection meant indeed fuck,No Hate
526,get shit phone bono never forg,Hate
527,fucking icon legend genius bitch queen url,No Hate
528,fucking icon legend genius bitch queen url,No Hate
529,consider source supreme ass kissing douche bag,Hate
530,consider source supreme ass kissing douche bag,Hate
531,fuck daddi,Hate
532,shit url,Hate
533,liberals like monkeys throwing shit everyth,No Hate
534,forgot tag bulletproof bullshit mate got sucked vortex tom drinking koolaid,Hate
535,gorgeous tits kil,No Hate
536,bitch togeth,No Hate
537,antifa anti fascism damn want america maybe ancestors fought nazis ww,Hate
538,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist co,Hate
539,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist co,Hate
540,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist cops kil,Hate
541,fucking believ,No Hate
542,ur fucking dumbass fr way anyone els,No Hate
543,ur fucking dumbass fr way anyone els,No Hate
544,fuck dildo rider antifa fuck go,Hate
545,fuck dildo rider antifa fuck go,Hate
546,fuck dildo rider antifa fuck go,Hate
547,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
548,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
549,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
550,mumbling hear shit literally spoke w hand sign,No Hate
551,disagreement fucking umpire player abus,Hate
552,seen people beautiful mention original art last eyes followers get buried half assed bullshit pals someone popular,Hate
553,liberals want bert ernie gay wtaf,No Hate
554,finally holy shit finally reading goat,No Hate
555,whenever conservatives lose court ruling bitch moan activist judges agenda judges whenever anyone else loses court ruling accept lost court ruling conservatives whiny babi,No Hate
556,u know u trash worried blaming shitting ariana death responsible instead mac,Hate
557,fucking liar happy play kate nash ask,Hate
558,mmmhm heard street gave extra seconds get shit togeth,No Hate
559,vg hc stickers see trucks exclusively trucks never cars seem like asshole indicators say sure never actually spoken someone like yes hockey involve punching peopl,Hate
560,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think,Hate
561,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think,Hate
562,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think human,Hate
563,see damn shame delusional gotta worst even boston ben stan,Hate
564,shit left little bit ago get food still drop paper heart desir,No Hate
565,also thick shit despite posh brainy voice qt refugee crisis peak said come may surgeons amp dentists amongst fecking leftie lunat,Hate
566,funny shit,No Hate
567,r million sign affect vote asshol,Hate
568,think choice ppl stay hooked shit,No Hate
569,sounds like hot lesbian sex,No Hate
570,shit gone work bruh url,No Hate
571,load illios insta lock torb immediate flame chat moira win fight game constant shit talking team mate one team still torb im fighting doomfist help,No Hate
572,acting like ass good view,Hate
573,guy explain day good indication youre talking shit,Hate
574,kind dumb shit gonna read next,Hate
575,captain maga getting slandered damn url,No Hate
576,still shoveling shit trump kind woman supports liar racist pussy grabber kind woman,Hate
577,still shoveling shit trump kind woman supports liar racist pussy grabber kind woman,No Hate
578,ready prepared trump administration going shit get hit well white county good lookout randolph county hide yo kids hide yo w,Hate
579,awesome agree yeah man preach wait read oh shit,No Hate
580,sorry damn hot af,No Hate
581,want defined pul ease live msmedia shit smear point marxine waters sending antifa minions threaten public places learn give fuc,No Hate
582,need know human knew mac many years relationship grieving post something prove fault died like damn stop blaming poor girl,No Hate
583,wish u folks luck w think fucked though never enough pro gun folks elected california turn tide gun control masses convinced guns equal bad already tell u amp,No Hate
584,desperate see saying report shame usually says nothing another antifa pussy doubt,Hate
585,ikkk fucking prince al mn al stories bta disney kida ahhooo,No Hate
586,odd stating opinions comes attack cunt assumption streamer using boobs attention verbal diarrhea person ought know bett,Hate
587,doesnt want face responsibility actions wrong job without taking account bit shit,Hate
588,sometimes edgy bitch boys secretly soft good trope straight abusive thin line walk dramione walk wel,Hate
589,think safe bet donald clueless everything ignorant amp lies much ivanka knows everything amp flip save treasonous ass,Hate
590,please watch story welles crowther hero simply asshole asham,Hate
591,cause director fucking beast let act like christian bale ever fuck niggas wavy fighting scen,No Hate
592,cause director fucking beast let act like christian bale ever fuck niggas wavy fighting scen,No Hate
593,disclaimer views necessarily reflect views potus amp conservatives ladies charged nature guard vagina url,No Hate
594,bitch know u see rainbow inna bio,No Hate
595,people still buy shit,Hate
596,things become easy liberals obama administration liberals screaming damn truth mean trump,No Hate
597,bout start stepping lol another winter boo bro shit cold liter,No Hate
598,kerry clown actually admits crime throw ass jail arrested right,Hate
599,politicians talk racism islamophobia homophobia rape drug abuse etc etc understand fucking sick ask jess discussed children complete strangers hate mummy hop,Hate
600,shit dez talking jerry cowboys fucking clown ass dude go back,No Hate
601,shit dez talking jerry cowboys fucking clown ass dude go back,Hate
602,shit dez talking jerry cowboys fucking clown ass dude go back,Hate
603,know bitch stop talking like gotta paper get nigga,No Hate
604,know bitch stop talking like gotta paper get nigga,No Hate
605,ass kinda weird char wore shirt wrestle lesbian joking r,No Hate
606,ass kinda weird char wore shirt wrestle lesbian joking r,No Hate
607,screams ass im gay url,No Hate
608,screams ass im gay url,No Hate
609,know slam manifort suck know worry junior kushner mad hell knows fire mueller busy puking bathroom und,No Hate
610,get women like come forward men like finally come forward men like either slut shame call liars men like shy lot victims remain sil,Hate
