,sentence,intent
585,got one last school year away,No Hate
586,well im glad hear youth world lets hope mudds niggs go h e l l,No Hate
587,history teacher zionist butt heads w,No Hate
588,welcome stormfront largest white nationalist community web,No Hate
589,looking guys situation makes realise lucky high school white however even remote countryside community black moving area kid,No Hate
590,dont want black guy one isnt white friends dont either must going wrong girl,No Hate
591,strength race depth love care shows peopl,No Hate
592,good luck,No Hate
593,absolut,No Hate
594,thebest thing stand look straight eyes fear stare wait throw signature haymak,No Hate
595,im history year cant really talk last year cause forgot remember would biased cause didnt join national socialism coupla months ago dont even know could really say joined like u fill form someth,No Hate
596,well good hear,No Hate
597,good,No Hate
598,never started dont contend addiction drug alcohol sex free whole lif,No Hate
599,n betray rac,No Hate
600,know feel breakthesilence luckily last year school almost otherwise would say look independent study put filth public education system,No Hate
601,may well think blood anim,No Hate
602,noticed first post,No Hate
603,live block muslim mask every friday rule streets think walk anywhere want white give look klike pass black neighborhood nig,No Hate
604,get tougether save great rac,Hate
605,looks like blacks lost even one lol diablo,No Hate
606,also college allow jews homosexu,No Hate
607,absurd thing ever heard nig say quot,No Hate
608,throw message well folk,No Hate
609,well changed signature think stupid forced people dont like say hope new one acceptable attack,No Hate
610,great,No Hate
611,describes mooleys well signature haymak,No Hate
612,think asians hot arent girls wanna get wolf pretty wanna pet one white girls ones trust,No Hate
613,looking day realized kids probably get go get check every single club back n one club group school,No Hate
614,week since put poison body feel gread better every day dont craving anymore realize stupid start first place ps thanks suport,No Hate
615,well,No Hate
616,two black fag holding hand,No Hate
617,russia long enough,No Hate
618,well found petrified peanut butter pre inca tomb chile years ago,No Hate
619,dont stop fighting territory none left ourselfes anyon,No Hate
620,ive talked lots punks get response get blacks minorities want hear educated opinion,No Hate
621,blood line mixed longer white ruin,No Hate
622,keep eyes open find friends places least expect,No Hate
623,hi im looken recrute dont know anything bout wondering anyboby help,No Hate
624,sent another one like week ago sitting right front still fil,No Hate
625,im kind curious think,No Hate
626,actually sxe kids locked drug users simply acts violence maybe thats utah,No Hate
627,try looking christian colleges went one tend asian,No Hate
628,maybe similar,No Hate
629,damn wiggers need friggen reality check bad white person walks another calls dawg,No Hate
630,whites already minority area,No Hate
631,well skin san diego however glad see back,No Hate
632,wanna look like skinny white lady black beautiful shakes head,No Hate
633,many alternatives adopting little mud babies srrogate mothers invitro fertilization two financialy possile wait til,No Hate
634,peter great,No Hate
635,yes steal anything whites think whites owe something ok st,No Hate
636,shame really watch people one day turn round tell gun carrying black friends hate black,No Hate
637,thank support great list going look pick,No Hate
638,note one posts worried delay posts showing worry check stuff new,No Hate
639,would like express sick tired bi racial half breeds kids school boasting unique heritag,No Hate
640,u search yahoo ya jew find,No Hate
641,dyeing hair right thing attack go run,Hate
642,go around school acting like half white half black half white half asian something proud,No Hate
643,yrs old person family seems believe preservation rac,No Hate
644,colour ghetto fly super dawg slang,No Hate
646,im sure site stats color crime book,No Hate
647,teachers liberals kikes know true european values european pride teachers actually imbeciles stooges save find tragically iron,No Hate
648,im half hour pasadena maybe mins valley im inland empire near ontario freeway interchang,No Hate
649,hello,No Hate
650,son got reddish highlights lov,No Hate
651,freuer frei,No Hate
652,blacks wont kid,No Hate
653,hello,No Hate
654,use feria blowout burgundy every weeks subtle color unless right sun vibr,No Hate
655,actually tv used wisely watching history discovery tlc stations like course sitcoms wolves dressed sheeps clothing mean jewish propaganda masqueraded reality lololo,No Hate
656,wn lancaster leominster clinton worcester bolton town area year age group,No Hate
657,normal hair fun braveheart nature intended us white normal color hair extra,No Hate
658,put msn dont accept dont w,No Hate
659,live georgia namely metro atlanta area naturally im surrounded monkey,No Hate
660,wrs,Hate
661,anyone know youth white pride acitivities organizations south jersey maybe philly area,No Hate
662,hey everyone would like get together people state lik,No Hate
663,youth internet th,No Hate
664,rather see purebreed black hispanic arrogant half bre,No Hate
665,going try update site soon however add chat room,Hate
666,mayb,No Hate
667,would n change anyth,Hate
668,hello mike reading board time finally got around regist,No Hate
669,bad thing sick animals infect whit,No Hate
670,knew kid street home schooled didnt act like kid ag,No Hate
671,probably today see anyone com,No Hate
672,natural color rich chocolate brown daughter got mousi,No Hate
673,hey everyon,Hate
675,hiv job fags keep searching cure never find one keeps changing mutating already percent faggot apes aids continues grow,No Hate
676,whole rainbow inspired hair colors ag,No Hate
677,support boy scout,No Hate
678,judge color hip,No Hate
679,bitch nerve say wasnt born australia dont speak english properly shut think stupid,No Hate
680,way win opening eyes whites cant soft,Hate
681,im girl year old skin canada,No Hate
682,fags big problem recruiting kids schools pay,No Hate
683,welcome stormfront,No Hate
684,girl bey fli,No Hate
685,thank,Hate
686,wow maybe next time leave little sister home especially since live highly non white populated area,Hate
687,guess lucky friends white see problem,No Hate
688,months old hair went back mousi,No Hate
689,use way intimidae jew show still people aginst originate roman called wariors salut,No Hate
690,well sure jews cure aids wont give fags cause already served purpois,No Hate
691,hope make feel welcome glad finally decided join young enough post stuff,Hate
692,told friends agree parti,No Hate
693,brand new member south jersey area,No Hate
694,old,No Hate
695,lemme know ohio maybe could meet chat,No Hate
696,im th grade im,No Hate
697,thanks greg,No Hate
698,enjoy classical mus,No Hate
699,family falling apart,Hate
700,never sports think found new favorite team,No Hate
701,back left area four years saw white youth except new mall located across freeway truckstop,No Hate
